[27/12/12 00:05:06] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/filecache.php insert_file_cache "HTTP, N, http://www.amazon.com/gp/product/B009NQKPUW, , text/html" -
[27/12/12 00:05:06] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/filecache.php update_file_cache "2, 343857, NOW()+ INTERVAL 604800 SECOND, http_2_181701.html, " -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51DTrrfZmJL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51LgMTLgjVL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51G04gaEpqL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/5107zQxUBML.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/61JzWGm3FSL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41SSv58iflL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51qVYCJyRML.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51mH5pABDpL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51Y1cUfI33L.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51xHfK5%2BzpL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51hByT3-r9L.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51a4Za5lLAL.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41O%2BYTCvB6L.jpg" -
[27/12/12 00:05:23] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51HEi-zZTOL.jpg" -
[27/12/12 00:05:30] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/OpenDbSnoopy.class.inc fetchURI "http://www.amazon.com/gp/product/B005LAIHXQ" -
[27/12/12 00:05:30] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/filecache.php insert_file_cache "HTTP, N, http://www.amazon.com/gp/product/B005LAIHXQ, , text/html" -
[27/12/12 00:05:30] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/filecache.php update_file_cache "3, 342805, NOW()+ INTERVAL 604800 SECOND, http_3_822411.html, " -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51DTrrfZmJL.jpg" -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51qVYCJyRML.jpg" -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51G04gaEpqL.jpg" -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51LgMTLgjVL.jpg" -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51Y1cUfI33L.jpg" -
[27/12/12 00:05:38] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51xHfK5%2BzpL.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/5107zQxUBML.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51a4Za5lLAL.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51hByT3-r9L.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41O%2BYTCvB6L.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41SSv58iflL.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51mH5pABDpL.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51HEi-zZTOL.jpg" -
[27/12/12 00:05:39] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/61JzWGm3FSL.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51G04gaEpqL.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51DTrrfZmJL.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41SSv58iflL.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51LgMTLgjVL.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/5107zQxUBML.jpg" -
[27/12/12 00:06:47] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/61JzWGm3FSL.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51qVYCJyRML.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51hByT3-r9L.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51mH5pABDpL.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51Y1cUfI33L.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51xHfK5%2BzpL.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41O%2BYTCvB6L.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51HEi-zZTOL.jpg" -
[27/12/12 00:06:48] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51a4Za5lLAL.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51G04gaEpqL.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51LgMTLgjVL.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/5107zQxUBML.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/41SSv58iflL.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/51DTrrfZmJL.jpg" -
[27/12/12 00:28:20] INFO 127.0.0.1 admin - /home/jason/Development/opendb-code/functions/http.php opendb_redirect "http://ecx.images-amazon.com/images/I/61JzWGm3FSL.jpg" -
